,dance,mode,energy,key,loudness,speech,acous,instrum,live,valence,tempo,duration_(ms),id_check,popularity,name,artist,album,id
47,0.545,1,0.67,9,-8.81,0.0496,0.009,0.000822,0.0451,0.481,151.553,270213,5e9TFTbltYBg2xThimr0rU,80,The Chain - 2004 Remaster,Fleetwood Mac,Rumours (Super Deluxe),5e9TFTbltYBg2xThimr0rU
48,0.499,1,0.33,7,-11.467,0.0348,0.589,4.21e-05,0.102,0.395,135.993,221000,19slC7k8bsPOAKDjHYLU2W,5,Father And Son,Yusuf / Cat Stevens,Tea for the Tillerman,19slC7k8bsPOAKDjHYLU2W
49,0.556,0,0.61,11,-11.227,0.035,0.0408,0.000266,0.0474,0.736,144.092,280530,3ziCNz5vq8pEeRZjPElfYR,0,Moonage Daydream - 2012 Remastered Version,David Bowie,The Rise and Fall of Ziggy Stardust and the Spiders from Mars (Remastered Version),3ziCNz5vq8pEeRZjPElfYR
50,0.633,1,0.621,10,-11.494,0.0313,0.042,0.0172,0.186,0.593,113.325,276000,2hE5Lm5XOHR4t3xlhIFauP,60,Fooled Around And Fell In Love,Elvin Bishop,Struttin' My Stuff,2hE5Lm5XOHR4t3xlhIFauP
51,0.836,1,0.509,0,-13.668,0.0548,0.467,4.1e-06,0.0436,0.949,138.714,276493,5IMtdHjJ1OtkxbGe4zfUxQ,73,Escape (The Pina Colada Song),Rupert Holmes,Partners In Crime,5IMtdHjJ1OtkxbGe4zfUxQ
52,0.488,0,0.754,5,-7.95,0.0381,0.00154,2.42e-05,0.678,0.664,88.368,197160,74JdR9aXE6I74oS1BVRsvb,63,O-o-h Child,The Five Stairsteps,The First Family of Soul: The Best of The Five Stairsteps,74JdR9aXE6I74oS1BVRsvb
53,0.66,0,0.931,3,-3.038,0.0764,0.0103,0.0,0.181,0.362,129.981,177539,06bUBaq3PKtjc6DvHN6uiX,2,Run Away - Radio Edit,Sunstroke Project,Run Away,06bUBaq3PKtjc6DvHN6uiX
54,0.664,1,0.717,11,-5.699,0.0391,0.0528,0.000348,0.138,0.555,124.989,227027,3RjYgB5vFhU09fjVxMJESN,0,Shooting Stars,Bag Raiders,Shooting Stars,3RjYgB5vFhU09fjVxMJESN
55,0.457,1,0.941,6,-5.174,0.0339,0.000136,3.12e-06,0.0896,0.704,154.038,201680,421On515lAdhfA5B0h6yPR,0,Highway,Bleeker,Bleeker,421On515lAdhfA5B0h6yPR
56,0.635,1,0.914,0,-5.631,0.111,0.0597,0.0,0.601,0.922,156.014,175493,5c5a2Ptu8eyIpljhQHjIqk,3,Ain't No Rest For The Wicked - Original Version,Cage The Elephant,Cage The Elephant,5c5a2Ptu8eyIpljhQHjIqk
57,0.548,1,0.532,5,-7.596,0.0323,0.186,0.000263,0.217,0.405,85.03,272394,3jfr0TF6DQcOLat8gGn7E2,0,Do I Wanna Know?,Arctic Monkeys,AM,3jfr0TF6DQcOLat8gGn7E2
58,0.213,1,0.977,0,-1.648,0.161,0.673,9.98e-05,0.849,0.356,90.403,110093,5MSKj7wpVQqSYsnEz1SaTr,0,Fell In Love With a Girl,The White Stripes,White Blood Cells,5MSKj7wpVQqSYsnEz1SaTr
59,0.429,1,0.853,9,-12.218,0.273,0.336,0.0835,0.0834,0.347,175.319,340253,6z0eyTNBYnPBCUEiVTCvF2,32,Whole Lotta Love - Rough Mix with Vocal,Led Zeppelin,Led Zeppelin II (Deluxe Edition),6z0eyTNBYnPBCUEiVTCvF2
60,0.678,0,0.857,10,-5.173,0.216,0.0325,0.0,0.0788,0.622,94.95,219253,2NeHnSFnwNp1Z5WYgcjJ8L,0,X Gon' Give It To Ya,DMX,The Best Of DMX,2NeHnSFnwNp1Z5WYgcjJ8L
61,0.513,1,0.661,3,-6.8,0.0439,0.0274,0.0,0.118,0.461,180.118,228347,1mr3616BzLdhXfJmLmRsO8,1,Fireflies,Owl City,Ocean Eyes,1mr3616BzLdhXfJmLmRsO8
62,0.562,1,0.832,2,-4.873,0.0913,0.00271,0.00013,0.406,0.559,93.494,200840,6XOPuFLGzY4ZGAKvmb8jou,24,Had Enough,Lower Than Atlantis,Had Enough,6XOPuFLGzY4ZGAKvmb8jou
63,0.745,1,0.359,1,-10.429,0.112,0.192,0.00628,0.138,0.55,160.123,326933,2Uvy6SkNqxvnH1W68dymxG,0,Redbone,Childish Gambino,"""Awaken, My Love!""",2Uvy6SkNqxvnH1W68dymxG
64,0.509,1,0.584,0,-4.907,0.057,0.0368,9.96e-05,0.384,0.685,170.411,278747,6y20BV5L33R8YXM0YuI38N,71,No One Knows,Queens of the Stone Age,Songs For The Deaf,6y20BV5L33R8YXM0YuI38N
65,0.434,1,0.885,4,-7.367,0.0396,0.204,0.0,0.0811,0.843,93.999,235173,46MX86XQqYCZRvwPpeq4Gi,65,Lake Shore Drive,Aliotta Haynes Jeremiah,Lake Shore Drive,46MX86XQqYCZRvwPpeq4Gi
66,0.856,1,0.609,0,-7.223,0.0824,0.00801,8.15e-05,0.0344,0.928,114.988,269667,32OlwWuMpZ6b0aN2RZOeMS,82,Uptown Funk (feat. Bruno Mars),Mark Ronson,Uptown Special,32OlwWuMpZ6b0aN2RZOeMS
67,0.59,0,0.578,10,-5.798,0.0528,0.612,0.000162,0.0837,0.264,81.663,219560,7aUuoq4oMfLxaLa5GVUDHi,66,Way down We Go,KALEO,Way down We Go,7aUuoq4oMfLxaLa5GVUDHi
68,0.544,0,0.378,9,-8.607,0.0264,0.719,0.00035,0.105,0.149,91.078,216533,4dDZyGxClFiOBUjcpxhXWg,0,Hurt,Johnny Cash,Unearthed,4dDZyGxClFiOBUjcpxhXWg
69,0.389,1,0.748,2,-4.461,0.0805,0.000821,0.00058,0.358,0.216,78.056,189707,5WmxjhGcmCKSFmRefcJUIt,43,Jungle,X Ambassadors,VHS,5WmxjhGcmCKSFmRefcJUIt
70,0.728,1,0.892,4,-5.172,0.126,0.0144,0.0,0.469,0.826,117.976,236440,20dJUFrfY0TBZ7HHhJgjsg,51,Sax,Fleur East,Sax,20dJUFrfY0TBZ7HHhJgjsg
71,0.652,1,0.757,1,-6.819,0.153,0.286,0.0,0.0886,0.962,159.911,233305,6NPVjNh8Jhru9xOmyQigds,1,Happy,Various Artists,Despicable Me 2 (Original Motion Picture Soundtrack),6NPVjNh8Jhru9xOmyQigds
72,0.463,1,0.857,4,-3.063,0.0632,0.0506,0.0,0.184,0.856,111.647,161920,7j31rVgGX9Q2blT92VBEA0,84,Teenagers,My Chemical Romance,The Black Parade,7j31rVgGX9Q2blT92VBEA0
73,0.611,1,0.602,7,-7.48,0.0962,0.508,0.0111,0.11,0.749,143.697,249307,2ytIkm9JchYn4i9nGpTPn6,0,Wake Me Up,Tim Bergling,Wake Me Up,2ytIkm9JchYn4i9nGpTPn6
74,0.425,0,0.954,1,-3.756,0.0476,0.00414,0.0,0.0555,0.933,178.043,243160,0Ph6L4l8dYUuXFmb71Ajnd,73,Livin' la Vida Loca,Ricky Martin,Ricky Martin,0Ph6L4l8dYUuXFmb71Ajnd
75,0.415,1,0.632,9,-7.243,0.0927,0.021,0.0117,0.0545,0.356,97.689,254533,7aBAo2pO8LvrN8mGba7MvA,1,Icky Thump,The White Stripes,Icky Thump,7aBAo2pO8LvrN8mGba7MvA
76,0.594,0,0.555,9,-6.689,0.0377,0.541,0.151,0.286,0.52,123.069,211227,6HqWcIutC3Bwk6awM1jnGP,0,Elephant,Tame Impala,Lonerism,6HqWcIutC3Bwk6awM1jnGP
77,0.658,1,0.709,8,-6.736,0.0904,0.00188,0.00447,0.0657,0.855,129.699,121880,3GfOAdcoc3X5GPiiXmpBjK,66,Song 2,Blur,Blur: The Best Of,3GfOAdcoc3X5GPiiXmpBjK
78,0.636,1,0.836,8,-3.004,0.0427,0.00609,0.000157,0.0828,0.715,139.956,193253,7j56HrjR9cGzvekvZY3Faz,65,HandClap,Fitz and The Tantrums,Fitz and The Tantrums,7j56HrjR9cGzvekvZY3Faz
79,0.476,1,0.717,9,-9.192,0.0949,0.0382,7.61e-05,0.0818,0.753,93.584,166267,0QwZfbw26QeUoIy82Z2jYp,67,Good Times Bad Times - 1993 Remaster,Led Zeppelin,Led Zeppelin,0QwZfbw26QeUoIy82Z2jYp
80,0.447,1,0.9,5,-6.741,0.0578,0.00114,0.00596,0.47,0.39,135.861,199733,75ARkUKb54dQ86YezuoNhn,0,Hate To Say I Told You So,The Hives,Veni Vidi Vicious,75ARkUKb54dQ86YezuoNhn
81,0.658,1,0.814,0,-4.631,0.0558,0.229,0.00676,0.216,0.69,108.016,183602,3MjrueDQKVr6xDDseZwhEd,66,Figure It Out,Royal Blood,Royal Blood,3MjrueDQKVr6xDDseZwhEd
82,0.633,0,0.921,11,-7.719,0.0495,0.0261,0.00102,0.309,0.925,119.865,244147,3nrVwwePAYIRzUNH9ig6mO,0,Cosmic Girl - Remastered,Jamiroquai,Travelling Without Moving,3nrVwwePAYIRzUNH9ig6mO
83,0.502,1,0.912,1,-4.556,0.0564,2.55e-05,0.000173,0.106,0.72,116.761,301920,1f3yAtsJtY87CTmM8RLnxf,80,Smells Like Teen Spirit,Nirvana,Nevermind (Deluxe Edition),1f3yAtsJtY87CTmM8RLnxf
84,0.733,0,0.71,5,-5.849,0.0292,0.145,0.115,0.0956,0.965,127.975,239600,7w87IxuO7BDcJ3YUqCyMTT,84,Pumped Up Kicks,Foster The People,Torches,7w87IxuO7BDcJ3YUqCyMTT
85,0.586,0,0.935,4,-9.386,0.0482,0.000155,0.277,0.159,0.58,114.997,211173,4l2hnfUx0esSbITQa7iJt0,0,A Little Less Conversation - JXL Radio Edit Remix,Elvis Presley,Elvis 75 - Good Rockin' Tonight,4l2hnfUx0esSbITQa7iJt0
86,0.562,1,0.629,7,-10.951,0.29,0.156,0.0147,0.095,0.786,157.973,195000,2OnzrJ0JDXctZ8LQYmgEbs,0,Imaginary Places,BUSDRIVER,Temporary Forever,2OnzrJ0JDXctZ8LQYmgEbs
87,0.782,0,0.819,11,-0.158,0.251,0.252,0.0,0.133,0.725,91.824,244267,2Dts49OexROL2KvCK2sokf,0,What's The Difference,Dr. Dre,2001 (Explicit Version),2Dts49OexROL2KvCK2sokf
88,0.627,1,0.891,4,-6.094,0.0676,0.121,0.0,0.281,0.722,138.79,185093,7FSzJQV6thyoQptFCUTV9c,61,Parklife - 2012 Remaster,Blur,Parklife (Special Edition),7FSzJQV6thyoQptFCUTV9c
89,0.693,0,0.875,7,-8.354,0.0315,0.00971,0.0,0.0601,0.901,120.048,259387,5CeL9C3bsoe4yzYS1Qz8cw,68,Girls & Boys,Blur,Blur: The Best Of,5CeL9C3bsoe4yzYS1Qz8cw
90,0.273,1,0.952,11,-8.762,0.0843,0.0169,0.0111,0.142,0.472,100.271,405640,3YBZIN3rekqsKxbJc9FZko,78,Paradise City,Guns N' Roses,Appetite For Destruction,3YBZIN3rekqsKxbJc9FZko
91,0.629,1,0.897,2,-3.401,0.0483,0.0424,0.0,0.263,0.93,161.944,168253,3mcG2NI5G5vhrQtRda1YnA,1,The Middle,Jimmy Eat World,Bleed American (Deluxe Edition),3mcG2NI5G5vhrQtRda1YnA
92,0.454,0,0.946,1,-5.978,0.13,0.0223,0.0,0.173,0.647,138.18,156147,0upLyFR8Rr52ZpMp5esQoq,66,You Really Got Me - 2015 Remaster,Van Halen,Van Halen (Remastered),0upLyFR8Rr52ZpMp5esQoq
93,0.264,1,0.78,0,-2.741,0.0517,0.0452,0.0222,0.376,0.456,155.376,280467,4juq76lIar8YWOLpYMXUAG,0,Joker And The Thief,Wolfmother,Wolfmother,4juq76lIar8YWOLpYMXUAG
94,0.92,0,0.654,11,-3.051,0.0401,0.0236,0.0158,0.0359,0.847,117.046,293827,5ChkMS8OtdzJeqyybCc9R5,84,Billie Jean,Michael Jackson,Thriller 25 Super Deluxe Edition,5ChkMS8OtdzJeqyybCc9R5
95,0.474,1,0.843,0,-5.909,0.272,0.0102,0.104,0.362,0.433,97.691,274282,7dBMQbBKG6n9HkVXkUKnhQ,0,The Way You Used To Do,Queens of the Stone Age,The Way You Used To Do,7dBMQbBKG6n9HkVXkUKnhQ
96,0.453,0,0.522,5,-12.395,0.0537,0.312,0.822,0.0666,0.339,135.911,264000,0gkVD2tr14wCfJhqhdE94L,38,CLOCK,Plaid,The Digging Remedy,0gkVD2tr14wCfJhqhdE94L
97,0.647,0,0.686,9,-8.579,0.0813,0.00909,0.588,0.378,0.155,151.023,233572,4grCJHIil9ejY5sy8unrFD,32,Shanghaied,Hudson Mohawke,Watch Dogs 2 Original Game Soundtrack,4grCJHIil9ejY5sy8unrFD
98,0.668,0,0.906,11,-4.881,0.17,0.214,0.00245,0.135,0.507,135.653,231933,2d4e45fmUnguxh6yqC7gNT,73,Dirty Deeds Done Dirt Cheap,AC/DC,Dirty Deeds Done Dirt Cheap,2d4e45fmUnguxh6yqC7gNT
99,0.739,1,0.86,0,-3.687,0.0623,0.0342,0.0,0.042,0.853,120.042,202733,6urNQHHAH8cxOe75FCGT6X,29,Rapunzel,Drapht,The Life of Riley,6urNQHHAH8cxOe75FCGT6X
100,0.662,0,0.916,11,-3.946,0.0635,0.123,0.0,0.77,0.553,99.952,246787,4Z61q2hpLQpquLSuRyU3JN,19,Sing It (The Life of Riley),Drapht,The Life of Riley,4Z61q2hpLQpquLSuRyU3JN
101,0.61,1,0.777,0,-5.154,0.119,0.0469,0.0,0.243,0.145,98.065,224080,6joDa8BqJ4efIk34Isd9Ge,2,Air Guitar,Drapht,The Life of Riley,6joDa8BqJ4efIk34Isd9Ge
102,0.833,1,0.434,2,-8.795,0.431,0.0102,0.0219,0.165,0.281,150.062,204600,3rOSwuTsUlJp0Pu0MkN8r8,48,Mask Off,Future,FUTURE,3rOSwuTsUlJp0Pu0MkN8r8
103,0.651,0,0.823,1,-5.148,0.0282,0.00193,5.77e-05,0.172,0.817,112.148,179533,2HYaqJitHc9qiG68vc0JIm,0,Fluorescent Adolescent,Arctic Monkeys,Favourite Worst Nightmare,2HYaqJitHc9qiG68vc0JIm
104,0.597,1,0.605,7,-12.013,0.0255,0.181,0.000331,0.118,0.886,97.782,281147,4CJVkjo5WpmUAKp3R44LNb,1,Sweet Home Alabama,Lynyrd Skynyrd,Second Helping,4CJVkjo5WpmUAKp3R44LNb
105,0.851,1,0.551,4,-5.177,0.0396,0.151,0.0,0.0827,0.807,131.922,219467,66S14BkJDxgkYxLl5DCqOz,72,I'm Gonna Be (500 Miles),The Proclaimers,Finest,66S14BkJDxgkYxLl5DCqOz
106,0.333,0,0.927,9,-8.55,0.0733,0.0029,0.000208,0.297,0.385,141.466,308120,5QTxFnGygVM4jFQiBovmRo,76,(Don't Fear) The Reaper,Blue Öyster Cult,Agents Of Fortune,5QTxFnGygVM4jFQiBovmRo
107,0.546,1,0.892,8,-5.102,0.0417,0.00313,0.000148,0.0721,0.635,130.037,304320,0zKyjbnWDq68PW8xzY34tB,10,It Only Takes A Touch,The Jack,The Jack,0zKyjbnWDq68PW8xzY34tB
108,0.564,1,0.932,11,-10.068,0.0554,0.013,0.169,0.349,0.619,112.937,146250,78lgmZwycJ3nzsdgmPPGNx,77,Immigrant Song - Remaster,Led Zeppelin,Led Zeppelin III (Remaster),78lgmZwycJ3nzsdgmPPGNx
109,0.438,1,0.71,2,-12.412,0.0919,0.262,0.537,0.221,0.53,145.928,210373,63OFKbMaZSDZ4wtesuuq6f,72,Born To Be Wild,Steppenwolf,Steppenwolf,63OFKbMaZSDZ4wtesuuq6f
110,0.376,0,0.954,5,-4.539,0.0869,9.04e-05,0.000121,0.196,0.232,158.049,277933,5nJsx0u3WeNlV287DqsIBq,0,Shut Up and Rock,Blessed By A Broken Heart,Feel the Power,5nJsx0u3WeNlV287DqsIBq
111,0.482,1,0.786,7,-5.735,0.032,0.00321,8.88e-05,0.446,0.793,126.755,323000,4DMKwE2E2iYDKY01C335Uw,75,Carry on Wayward Son,Kansas,Leftoverture (Expanded Edition),4DMKwE2E2iYDKY01C335Uw
112,0.64,1,0.663,0,-7.516,0.0374,0.201,0.00806,0.152,0.663,132.77,140773,4BP3uh0hFLFRb5cjsgLqDh,80,Fortunate Son,Creedence Clearwater Revival,Willy And The Poor Boys,4BP3uh0hFLFRb5cjsgLqDh
